CSRankingAllArea,College Name,PubCount,Faculty,GRE,Score
1,Carnegie Mellon University,18.3,122,791.376,425.578
2,Massachusetts Institute of Technology,15,64,771.894,403.247
3,Stanford University,14.3,55,800,415.29
4,University of California--Berkeley,11.4,50,789.451,408.1455
5,University of Illinois--Urbana-Champaign,10.5,55,771.894,400.097
6,University of Washington,10.3,50,795.976,411.078
7,Georgia Institute of Technology,8.9,81,796.532,417.136
8,University of California--San Diego,7.8,49,796.986,410.633
9,Cornell University,6.9,45,800,411.07
10,University of Michigan,6.8,63,800,414.64
11,University of Texas--Austin,6.6,43,789.15,405.155
12,Columbia University,6.3,49,788.197,405.7885
13,University of Massachusetts--Amherst,6.2,47,796,409.26
14,University of Maryland--College Park,5.5,42,791.237,405.6685
15,University of Wisconsin--Madison,5.1,35,792.955,405.0075
16,University of Southern California,4.4,47,792.951,407.1955
17,University of California--Los Angeles,4.3,32,797.263,406.3215
18,Northeastern University,4,46,797.429,409.1145
19,Purdue University--West Lafayette,3.6,42,771.894,395.427
20,Harvard University,3.4,29,793.704,403.672
20,University of Pennsylvania,3.4,32,800,407.42
22,University of California--Santa Barbara,3.2,28,792.982,403.051
22,Princeton University,3.2,27,796.458,404.589
24,New York University,3,29,795.61,404.505
24,Ohio State University,3,39,798.061,407.7305
26,University of California--Davis,2.9,27,770.617,391.5785
27,Rutgers The State University of New Jersey--New Brunswick,2.8,33,757.813,386.3465
27,University of Minnesota--Twin Cities,2.8,37,777.113,396.7965
29,Brown University,2.5,24,768.32,389.71
30,Northwestern University,2.4,35,787.083,401.2615
31,Pennsylvania State University,2.3,28,789.677,401.1285
31,Texas A&M University--College Station,2.3,36,774.6,395.19
33,State University of New York--Stony Brook,2.2,33,795.517,405.0185
33,Indiana University--Bloomington,2.2,35,764.737,390.0285
33,Duke University,2.2,22,800,405.06
33,Rice University,2.2,18,800,404.26
37,University of Utah,2.1,29,776.407,394.6335
37,Johns Hopkins University,2.1,24,766.385,388.6225
39,University of Chicago,2,28,779.259,395.8295
40,University of California--Irvine,1.9,28,787.304,399.822
41,Boston University,1.6,15,782.5,394.73
41,University of Colorado--Boulder,1.6,32,761.111,387.4355
41,University of North Carolina--Chapel Hill,1.6,22,794.342,402.051
41,Dartmouth College,1.6,18,793.846,401.003
45,Yale University,1.5,18,800,404.05
45,University of Virginia,1.5,18,788.538,398.319
45,University of Rochester,1.5,18,786.026,397.063
48,Arizona State University,1.4,14,787.164,396.802
48,University of Arizona,1.4,18,784.118,396.079
48,Virginia Polytechnic Institute and State University,1.4,32,780,396.82
48,Washington University in St. Louis,1.4,17,790,398.82
